Date,Approx_Location,Lat,Long,Sighting_Description
6/22/2017,Urquhart,57.324221,-4.441636,"Mr Jackson and his wife, visiting from Australia snapped something in the loch four miles south of Urquhart Castle at 5.18pm in the afternoon. The sighting lasted about five minutes - this is what they saw."
5/1/2017,Urquhart Bay,57.338176,-4.442182,"Ms Johnson from Manchester was at Urquhart Bay taking pictures at dusk when she spotted  a dark shape in the water, higher than the waves. This is what she saw"
4/28/2017,Drumnadrochit,57.334361,-4.453073,A Ms Cairney from Dunbartonshire was at the loch with three of her friends when they saw a 20m long series of waves move at about 5mph along the surface 500m out. It came out of nowhere and then disappeared the same way - they have confirmed that there was no boat traffic in the area. The sighting took place at 3pm from a layby on the A82 road between Drumnadrochit and Inverness.
8/21/2016,Drumnadrochit,57.329981,-4.455166,"Ian Campbell, a government worker from Argyll,  was cycling along the west side of the loch near Drumnadrochit with his son and family friend when he pictured two creatures in the loch about 10m in length just out from the shore."
8/21/2016,Urquhart,57.327969,-4.447017,"on the same day Mr Smith, visiting the area, also saw something very similar. He said that he and his son saw some dark or black shapes moving around in the water near to Urquhart castle. He estimated them to be about 800 yards away but they managed to take some pictures including the one below."
6/21/2016,,,,Jim from Iowa took the pictures below from the 'Nessie on the Net' webcam while watching it during his lunchtime in the USA. He said that the second picture shows the normal view without the object in it. The sighting lasted 10-12 seconds and he reported that there was no boat activity in the area at the time.
5/21/2016,,,,"Jolene Lin, a visitor from London spotted ""a head emerging from the waters and having a large snake-like head"" It was reported as being relatively far away but she said she could see the head clearly and the 'monster' appeared to be greyish-green or something along that lines. The sighting took place at 1.29pm from one of the cruise ships on the loch. She took this picture:"
5/1/2016,,,,a visitor from Texas took pictures of a dark creature just under the surface following the boat she was on. The sighting was at approximately 1330 hours and lasted 30 seconds. She said that she initially thought it was a shadow but then realised that there was nothing behind her that could cause such a reflection. This is what she snapped
4/15/2016,Dores,57.376081,-4.33895,Mr Smith and his family from Aberdeenshire too a picture of a black shape seen low in the water whilst looking west from the beach at Dores at the north end of the loch. He said that the sighting lasted about a minute at midday. This is what he saw:
3/24/2016,,,,"Joaquin from the Canary Isles snapped the picture below on the Nessie on the net webcam. He said there were no birds or other debris around and when he refreshed the screen, the creature was gone:"
9/15/2015,Urquhart,,,"local man Conor Mckenna was driving along the loch side one mile south of Urquhart Castle at approx 12.45 hrs when he saw a dark coloured 15-20ft long object in the water about 250m from the shore. he had a clear view for 6-7 seconds before the object submerged, leaving a small wave here it had been."
8/13/2015,Loch Ness Holiday Park,57.255432,-4.501161,"Mr & Mrs Bates, who were staying at the Loch Ness Holiday Park, photographed a 'mass' moving in an undulating fashion in the loch at 3.30pm. Five other people also winessed the sighting which lasted for five minutes. Here's one of the pictures, taken on a smartphone"
7/1/2015,,,,"Somewhere between 15.00 & 15.30, Crystal Ardito of New York snapped an unexplained creature from a boat on the loch. She said that it was only a few seconds and weather conditions were about 10 degrees celsius and a little windy"
4/25/2015,North End of Loch,57.387051,-4.345392,"Dee Bruce of Elgin was driving to Skye with her partner Les Stuart when she saw a black creature come about three feet out of the water near the north end of the loch at 12.30pm. It happened so quickly, she was unable to get a camera out to take pictures (source - Inverness Courier)"
